Common_Name,Organisation.name,Country,Sector,Primary.activity,Primary.sector,Primary.industry,Rating_year,Score,Score2,Year_TRASE,Country_trade,Commodity,DF_E,Market_Capital,gvkey,assets,sales,book_equity,net_income,enterprise_value,gp_at,ni_be,ope_be,debt_bev,cash_lt,lt_ppen,debt_at,age,News_count,me
Company_008,Company_008,Germany,Materials,Specialty chemicals,Chemicals,Materials,2018,A,8,2018,Paraguay,soy,1.16944,85616.1418394801,17436,94781.2775979593,73351.7875485522,43943.3129267018,6401.54036669334,99593.4674956189,0.291614960494319,0.145694831252643,0.283635887189333,0.396591988411515,0.147358623146791,1.77857666378311,0.229763981619004,414.5,7,85656.2414261766
Company_008,Company_008,Germany,Materials,Specialty chemicals,Chemicals,Materials,2020,A-,7,2020,Indonesia,palm oil,24.06776512,55071.9711211449,17436,99613.6927321551,66617.2829831652,45838.7559738051,2267.58532678877,75640.4482685775,0.22047935397738,0.0488950056130098,0.168285229882573,0.375210408685302,0.0756842574658928,2.19844903215962,0.247138241100173,438.5,9,55102.3055508647
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2015,C,4,2015,Brazil,beef,956.079194,16813.6691585884,205942,12618.3543873545,11399.8774574342,5384.7780730523,777.939637650383,18745.8171755733,0.304150081404819,0.149374778284184,0.22122981368364,0.558156316242221,0.288801357734326,1.96024414315726,0.3248255175548,378.5,0,16745.5118331006
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2015,C,4,2015,Brazil,chicken,1051.525089,16813.6691585884,205942,12618.3543873545,11399.8774574342,5384.7780730523,777.939637650383,18745.8171755733,0.304150081404819,0.149374778284184,0.22122981368364,0.558156316242221,0.288801357734326,1.96024414315726,0.3248255175548,378.5,0,16745.5118331006
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2015,C,4,2015,Brazil,pork,99.70177829,16813.6691585884,205942,12618.3543873545,11399.8774574342,5384.7780730523,777.939637650383,18745.8171755733,0.304150081404819,0.149374778284184,0.22122981368364,0.558156316242221,0.288801357734326,1.96024414315726,0.3248255175548,378.5,0,16745.5118331006
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2016,A-,7,2016,Brazil,beef,1400.733296,12071.8271390427,205942,11227.0155456073,9112.96573118623,3704.07835710013,688.68307785087,14837.4617475313,0.282922573772929,0.18790857182682,0.195422194899636,0.721816740806741,0.258932593827599,2.45126550634003,0.40968277455622,390.5,0,12104.6503700828
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2016,A-,7,2016,Brazil,chicken,926.5438604,12071.8271390427,205942,11227.0155456073,9112.96573118623,3704.07835710013,688.68307785087,14837.4617475313,0.282922573772929,0.18790857182682,0.195422194899636,0.721816740806741,0.258932593827599,2.45126550634003,0.40968277455622,390.5,0,12104.6503700828
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2016,A-,7,2016,Brazil,pork,74.43144557,12071.8271390427,205942,11227.0155456073,9112.96573118623,3704.07835710013,688.68307785087,14837.4617475313,0.282922573772929,0.18790857182682,0.195422194899636,0.721816740806741,0.258932593827599,2.45126550634003,0.40968277455622,390.5,0,12104.6503700828
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2017,C,4,2017,Brazil,beef,3549.515282,10389.2106480272,205942,13664.8684918494,10181.7131363275,3711.97285728596,-55.24559516,14487.7665457868,0.198086454917015,-0.016630345,0.0976950756257647,0.829601411462206,0.235526582019507,2.65389890243554,0.471723711803271,402.5,0,10372.5967060374
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2017,C,4,2017,Brazil,chicken,743.0335283,10389.2106480272,205942,13664.8684918494,10181.7131363275,3711.97285728596,-55.24559516,14487.7665457868,0.198086454917015,-0.016630345,0.0976950756257647,0.829601411462206,0.235526582019507,2.65389890243554,0.471723711803271,402.5,0,10372.5967060374
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2017,C,4,2017,Brazil,pork,116.8022637,10389.2106480272,205942,13664.8684918494,10181.7131363275,3711.97285728596,-55.24559516,14487.7665457868,0.198086454917015,-0.016630345,0.0976950756257647,0.829601411462206,0.235526582019507,2.65389890243554,0.471723711803271,402.5,0,10372.5967060374
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2018,D,3,2018,Brazil,chicken,84.48031922,5306.95227413997,205942,13585.5764941007,10196.9828122948,3283.18434172445,-380.2949729,9807.12834888531,0.185868802230652,-0.129848483,0.0823037595362159,0.852073736539114,0.203806576294473,2.86222131748946,0.486411463642037,414.5,1,5306.71974048193
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2018,D,3,2018,Brazil,pork,74.43144557,5306.95227413997,205942,13585.5764941007,10196.9828122948,3283.18434172445,-380.2949729,9807.12834888531,0.185868802230652,-0.129848483,0.0823037595362159,0.852073736539114,0.203806576294473,2.86222131748946,0.486411463642037,414.5,1,5306.71974048193
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2019,C,4,2019,Brazil,soy,22.06111567,6348.04552513298,205942,11028.8702999246,8493.77985093592,1923.63343581031,-843.9450905,10915.2372648657,0.169786656065451,-0.442826743,-0.116463575,0.929077015930756,0.163092902754503,2.87264571263924,0.547072556645811,426.5,2,6352.17077312425
Company_009,Company_009,Brazil,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2020,C,4,2020,Indonesia,palm oil,40.73012867,3381.1801678008,205942,9714.685347,8220.65064694195,1555.72530328112,122.13216686263,7089.002703,0.255354546416158,0.100295800270309,0.3763591005204,1.01998139679651,0.198214445122462,3.02696980625148,0.54883289930505,438.5,3,3373.09100347323
Company_010,Company_010,Switzerland,Consumer Staples,Chocolate confection,Food & beverage processing,"Food, beverage & agriculture",2020,A-,7,2020,Indonesia,palm oil,0.099532516,11566.766115089,224159,7451.119846,7401.48968679962,2539.47975238467,369.864591459276,13248.046565852,0.183999174752314,0.145748529921951,0.250051307739254,0.574793071722118,0.135644349283115,2.91401801682431,0.317977112194354,438.5,21,11542.9958786161
Company_011,Company_011,Germany,Healthcare,Pharmaceuticals,Biotech & pharma,"Biotech, health care & pharma",2016,A,8,2016,Paraguay,soy,5.47076,86635.1615622516,100080,83643.6016611085,49536.3964519282,26884.6545841408,4375.9940584837,106306.359951252,0.374908721310407,0.162674676804924,0.365593286294216,0.502280432435139,0.0592995363050167,4.21282715050853,0.275422109687569,390.5,0,86670.9443358753
Company_012,Company_012,Germany,Industrials,Chemicals wholesale & distribution,"Trading, wholesale, distribution, rental & leasing",Retail,2018,C,4,2018,Indonesia,palm oil,7.639616494,8771.71348911226,269835,9008.97061639794,13790.5003804856,3786.37657967018,444.726871511069,10752.2941151899,0.345840130422975,0.117557185847094,0.214081228786792,0.487744327415204,0.133109257953493,4.89475677379034,0.299862718132993,414.5,0,8775.87567423599
Company_012,Company_012,Germany,Industrials,Chemicals wholesale & distribution,"Trading, wholesale, distribution, rental & leasing",Retail,2019,C,4,2019,Indonesia,palm oil,4.827164146,7742.03719996758,269835,9234.36806306184,14563.3149307327,3944.97850572712,514.32316272228,10044.5206147816,0.351327654996111,0.130328062695939,0.225788720508667,0.45379567056066,0.0818323135880656,4.03429001166831,0.296463079381371,426.5,1,7748.31492705946
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2015,D-,1,2015,Brazil,soy,173689.278,NA,144435,20871.75,55116.75,7578.5,610.5,14692.1923932158,0.165638994603376,0.0819004071450538,0.196570653126788,0.451685885706368,0.156886367458253,2.29403164577712,0.251385910611103,378.5,7,11441.4423932158
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2015,D-,1,2015,Brazil/Argentina/Paraguay,soy,180311.0274,NA,144435,20871.75,55116.75,7578.5,610.5,14692.1923932158,0.165638994603376,0.0819004071450538,0.196570653126788,0.451685885706368,0.156886367458253,2.29403164577712,0.251385910611103,378.5,7,11441.4423932158
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2016,C,4,2016,Brazil,soy,140903.7655,NA,144435,19348.75,42981.25,6197.25,700.25,12511.2861559502,0.166990263106769,0.112652081549578,0.242293576817461,0.480850206441753,0.113684731916109,2.56541682988063,0.266330522554526,390.5,4,8735.28615595023
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2016,C,4,2016,Brazil/Argentina/Paraguay,soy,149612.7368,NA,144435,19348.75,42981.25,6197.25,700.25,12511.2861559502,0.166990263106769,0.112652081549578,0.242293576817461,0.480850206441753,0.113684731916109,2.56541682988063,0.266330522554526,390.5,4,8735.28615595023
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2017,C,4,2017,Brazil,soy,135913.7475,NA,144435,20071.5,43884,6764.75,629,14486.11698,0.141755531383174,0.0932076571690284,0.188142842434935,0.459759924318085,0.0957127798293639,2.41458236967468,0.263891232542968,402.5,14,10392.11698
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2017,C,4,2017,Brazil/Argentina/Paraguay,soy,141031.8952,NA,144435,20071.5,43884,6764.75,629,14486.11698,0.141755531383174,0.0932076571690284,0.188142842434935,0.459759924318085,0.0957127798293639,2.41458236967468,0.263891232542968,402.5,14,10392.11698
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2018,C,4,2018,Brazil,soy,75784.09281,NA,144435,21157.75,45728,6582.5,183.5,14825.0546772696,0.118711689763354,0.0263140948511381,0.136614958857281,0.50315758707606,0.0861044275976513,2.5283108002906,0.301630480878591,414.5,22,9568.80467726962
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2018,C,4,2018,Brazil/Argentina/Paraguay,soy,104008.1616,NA,144435,21157.75,45728,6582.5,183.5,14825.0546772696,0.118711689763354,0.0263140948511381,0.136614958857281,0.50315758707606,0.0861044275976513,2.5283108002906,0.301630480878591,414.5,22,9568.80467726962
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2018,C,4,2018,Indonesia,palm oil,39.16416358,NA,144435,21157.75,45728,6582.5,183.5,14825.0546772696,0.118711689763354,0.0263140948511381,0.136614958857281,0.50315758707606,0.0861044275976513,2.5283108002906,0.301630480878591,414.5,22,9568.80467726962
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2019,B,6,2019,Brazil,soy,34621.14818,NA,144435,20457.5,44894.25,5878.25,348,13428.3477808631,0.143769426898559,0.0590459071721669,0.215791230069339,0.531512937452937,0.0708387507327872,2.40364661611909,0.328338298364706,426.5,25,7657.09778086313
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2019,B,6,2019,Brazil/Argentina/Paraguay,soy,75506.60268,NA,144435,20457.5,44894.25,5878.25,348,13428.3477808631,0.143769426898559,0.0590459071721669,0.215791230069339,0.531512937452937,0.0708387507327872,2.40364661611909,0.328338298364706,426.5,25,7657.09778086313
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2020,B,6,2020,Brazil,soy,75672.2935,NA,144435,18526.5,40789,4708.25,-1322,12133.5695397545,0.0572618924956447,-0.284869961,-0.116198918,0.577054834953078,0.0754757750851763,2.74204500313535,0.342632800472155,438.5,27,6754.81953975455
Company_013,Company_013,United States,Consumer Staples,Agricultural products wholesale,"Trading, wholesale, distribution, rental & leasing",Retail,2020,B,6,2020,Indonesia,palm oil,2260.92711,NA,144435,18526.5,40789,4708.25,-1322,12133.5695397545,0.0572618924956447,-0.284869961,-0.116198918,0.577054834953078,0.0754757750851763,2.74204500313535,0.342632800472155,438.5,27,6754.81953975455
Company_014,Company_014,South Korea,Consumer Staples,Logistics - 3rd party,Intermodal transport & logistics,Transportation services,2017,B,6,2017,Brazil,soy,0.012036412,4474.30999690655,286420,13532.6417561563,12703.0769732688,3548.4073266927,222.484969236368,9239.23174358634,0.233838548767945,0.0627424930608756,0.313878077466262,0.685675621297802,0.0947683679668846,1.32298206234536,0.424720671742173,402.5,0,4278.0130497235
Company_014,Company_014,South Korea,Consumer Staples,Logistics - 3rd party,Intermodal transport & logistics,Transportation services,2018,C,4,2018,Brazil,soy,0.012640146,4754.92665324525,286420,16302.6932050004,15151.2004623328,4201.48464352588,487.123135363608,10554.2615035912,0.221202795488024,0.111426826651294,0.285723480521036,0.680101224010629,0.0880817752699203,1.33477861463365,0.42169866119654,414.5,0,4593.66811385758
Company_014,Company_014,South Korea,Consumer Staples,Logistics - 3rd party,Intermodal transport & logistics,Transportation services,2019,B,6,2019,Brazil,soy,0.25079871,3763.18950651562,286420,19571.3146229612,17172.0368373631,4976.62946969067,624.937304254116,11465.2946140433,0.193295672921506,0.12648584469289,0.262949005288924,0.669149090821073,0.0539503536774332,1.3820700090616,0.432225206709706,426.5,0,3625.55915795318
Company_014,Company_014,South Korea,Consumer Staples,Logistics - 3rd party,Intermodal transport & logistics,Transportation services,2020,B,6,2020,Brazil,soy,39.64853747,4312.48709190083,286420,22129.5940001088,19311.2118678913,5140.09629734746,284.355247573224,11808.0421138607,0.203348822896377,0.0542951860619935,0.330268714179584,0.702100400738924,0.0967984840637052,1.51378384581409,0.407647651951972,438.5,0,4155.93486372571
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2017,B-,5,2017,Brazil,soy,91819.08785,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2017,B-,5,2017,Brazil/Argentina/Paraguay,soy,89093.60142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2018,C,4,2018,Brazil,chicken,0.006730736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2018,C,4,2018,Brazil,soy,54090.58683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2018,C,4,2018,Brazil/Argentina/Paraguay,soy,65409.34833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2018,C,4,2018,Indonesia,palm oil,271.6671885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2019,C,4,2019,Brazil,soy,3438.940161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2019,C,4,2019,Brazil/Argentina/Paraguay,soy,40704.82544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2019,C,4,2019,Indonesia,palm oil,2202.230976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2020,C,4,2020,Brazil,soy,27061.89262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA
Company_015,Company_015,United States,Consumer Staples,Sugar,Food & beverage processing,"Food, beverage & agriculture",2020,C,4,2020,Indonesia,palm oil,890.9774302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76,NA
Company_016,Company_016,Thailand,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2015,C,4,2015,Brazil,soy,0.016375235,4958.73906631269,103951,12735.067903837,12925.6409060518,3735.24673504486,340.006993929545,9878.0613133521,0.177422833953041,0.0910169517273371,0.179814570066463,0.690403647137443,0.150536181119657,2.015434099,0.477444941831954,378.5,0,4957.81956836579
Company_016,Company_016,Thailand,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2016,B,6,2016,Brazil,beef,22.61372201,5990.81095227134,103951,13502.3420324639,12192.4688699677,3524.5414567392,327.049501792493,11726.9306367222,0.171313751286153,0.0926834643570134,0.195923581506102,0.720365952686854,0.127865799695897,2.04475540109278,0.505348143541891,390.5,7,5990.06956015296
Company_016,Company_016,Thailand,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2017,B,6,2017,Brazil,beef,78.7530894,6311.41946857276,103951,16213.2898720253,13410.3771723181,4317.18015429738,421.400839391799,13452.0889848376,0.163021321335223,0.0984492423447145,0.227977993513297,0.72397227372189,0.112037331095218,2.1116128507171,0.515756108886411,402.5,1,6257.64622871921
Company_016,Company_016,Thailand,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2020,C,4,2020,Brazil,soy,5.185660901,7936.93387571038,103951,22300.7840243642,17644.6960732829,6012.97729813686,626.753824099365,18128.4309124578,0.152632305329286,0.103947412307896,0.206283305216288,0.745384965549436,0.129488358419193,2.06970076138608,0.544471607430766,438.5,0,7937.59102412981
Company_017,Company_017,Indonesia,Consumer Staples,Animal processing,Food & beverage processing,"Food, beverage & agriculture",2015,C,4,2015,Brazil,soy,0.016375235,3548.07280308672,201163,1691.39526575256,2386.57162647048,880.662634011583,137.414990690088,4018.66105033516,0.229829697907236,0.155812619416084,0.275309783532811,0.408263123481016,0.0989355351830861,1.11848683887247,0.32746650196199,378.5,0,3543.06877170341
