Common_Name,Issuer_Name,Country,Industry,Sector,Year_MSCI,Rating_year,Rating_month,Market_Capital,Mark.Cap_type,Overall_Company_Rating,Industry_Adjusted_Score,Weighted_Average_Score,E_score,E_weight,S_score,S_weight,G_score,G_weight,Year_TRASE,Country_trade,Commodity,DF_E,volume,gvkey,assets,sales,book_equity,net_income,enterprise_value,gp_at,ni_be,ope_be,debt_bev,cash_lt,lt_ppen,debt_at,age,News_count,me
Company_004,Company_004,United States,Food Products,Consumer Staples,2019,2018,12,NA,,A,6.2,4.8,5.7,48,3.2,36,6,16,2018,Brazil/ Argentina/ Paraguay,soy,88663.48079,13807923.72,1722,39696.75,61736,19542.75,1603.5,27867.9432042354,0.114491249733171,0.0819609769903519,0.112753647230185,0.377684925781428,0.25614532520214,2.12137332329335,0.197856484767853,1110.5,0,25456.4432042354
Company_004,Company_004,United States,Food Products,Consumer Staples,2020,2019,12,NA,,BBB,4.9,4.6,4.8,52,3.8,29,5.2,19,2019,Brazil/ Argentina/ Paraguay,soy,49276.05411,14809942.16,1722,41566,64068,20101.25,1765.5,27289.2002992954,0.122095342475338,0.0879294429571503,0.123329904731585,0.407216946206686,0.248418267456028,2.14581402779914,0.223085106405402,1122.5,8,23551.7002992954
Company_004,Company_004,United States,Food Products,Consumer Staples,2021,2020,12,NA,,AA,7.8,5.2,6.1,37,6,30,3.5,33,2020,Brazil,soy,31204.69473,12076785.93,1722,44634.25,64389.5,20379,1469.25,28000.7051873681,0.114691986271485,0.0720243956981115,0.10814371878794,0.465825663840553,0.258571567422546,2.32822104398292,0.241768387337994,1134.5,5,23848.9551873681
Company_004,Company_004,United States,Food Products,Consumer Staples,2021,2020,12,NA,,AA,7.8,5.2,6.1,37,6,30,3.5,33,2020,Indonesia,palm oil,88.02179638,5657.036826,1722,44634.25,64389.5,20379,1469.25,28000.7051873681,0.114691986271485,0.0720243956981115,0.10814371878794,0.465825663840553,0.258571567422546,2.32822104398292,0.241768387337994,1134.5,5,23848.9551873681
Company_005,Company_005,United States,Utilities,Utilities,2016,2015,1,6741.525684,original,BB,3.5,4.4,5.1,48,4.6,29,2.7,23,2015,Brazil,beef,57.07012137,304.5346112,100251,12810.8835440383,8950.45907106617,7187.82310672919,407.569468820927,10840.9369871514,0.174874581999511,0.0558125615239305,0.135099655289653,0.306400625329129,0.0462729708694025,0.902486281755135,0.2383365750745,378.5,3,8055.35365296371
Company_006,Company_006,France,Multi-Line Insurance & Brokerage,Financials,2016,2015,6,61563.99989,original,AAA,8.6,7,9.9,11,6.8,59,6.3,30,2015,Brazil,chicken,5.762396902,24.6,63120,1005916.09948348,152273.326452736,76951.2245635322,6231.27125430675,82941.1158505015,0.0094183002028991,0.0810446171041599,0.120167051837669,0.368085070981359,0.0294815608772973,576.579254795137,0.0403393347895461,378.5,0,62504.2261539626
Company_006,Company_006,France,Multi-Line Insurance & Brokerage,Financials,2017,2016,7,49364.08561,original,AAA,9.8,6.9,9.9,11,6.8,61,6,28,2016,Brazil,chicken,0.412973804,541.205,63120,1005313.94459755,129776.842627715,79391.2144539796,6366.79071097934,75754.6406421711,NA,0.0802249974088802,0.125290233443318,0.41169651575984,0.0363600898033962,568.899418014719,0.0460143409922959,390.5,0,55475.0661672203
Company_006,Company_006,France,Multi-Line Insurance & Brokerage,Financials,2019,2018,5,60477.5789,original,AAA,10,7.4,9.6,12,7.3,58,6.9,30,2018,Brazil,chicken,0.01547925,73.8,63120,1055610.37737904,151341.060796196,82796.1004922373,7041.26497004822,68297.3674341387,0.00948684104562553,0.0851844209543214,0.105610494666772,0.461818067986533,0.0487418868079792,572.480868179411,0.0471270799798239,414.5,0,64173.8825523494
Company_007,Company_007,Luxembourg,Food Products,Consumer Staples,2019,2018,12,811.227665,original,A,7.1,5.1,4.3,41,5.5,40,6.2,19,2018,Brazil,soy,116.7586216,55614.88915,186275,1644.63975,938.893,624.06425,6.61175,1551.99426361036,0.246524894997439,0.00761559809961791,0.311890021855632,0.722722774615122,0.261588594425837,1.26977102924349,0.541184676146583,414.5,0,940.774013610363
Company_007,Company_007,Luxembourg,Food Products,Consumer Staples,2020,2019,12,980.0102385,original,A,7.1,5.1,3.8,43,5.9,38,6.5,19,2019,Brazil,soy,4348.733611,186319.959,186275,2371.63825,806.46975,1229.38375,-14.29475,1573.55834721963,0.155825251219531,-0.011937223,0.132693604913492,0.512062294883673,0.152782720127989,0.774796831302898,0.406078196447503,426.5,0,793.845097219626
Company_007,Company_007,Luxembourg,Food Products,Consumer Staples,2021,2020,12,797.9038332,original,A,7,4.9,4.5,41,5.4,26,5,33,2020,Brazil,soy,951.5884731,254811.7127,186275,2385.774,864.75825,1071.822,-39.105,1531.55653565387,0.194698898614183,-0.038376023,0.225337594341341,0.615734672060161,0.156725398167821,0.877167186542342,0.480805678178568,438.5,0,612.252285653869
Company_008,Company_008,South Korea,Household & Personal Products,Consumer Staples,2021,2020,3,506.1741626,original,CCC,0,2,1.8,35,1.3,30,2.7,35,2020,Indonesia,palm oil,129.6557907,2947.368421,326858,364.910358411881,581.126435370033,278.511051074517,30.2352880310438,455.763628715159,0.779853028887115,0.108166721042778,0.201211612447265,0.0304106838974363,1.10040079363008,0.985644069090573,0.0166702548028104,438.5,0,546.137785012886
Company_009,Company_009,Singapore,Metals and Mining - Non-Precious Metals,Materials,2020,2019,3,1055.713709,original,BB,3.8,3,2.6,49,3.9,23,3,28,2019,Indonesia,palm oil,1975.803529,67460.12798,252344,1484.40003522769,275.653746843118,677.265441441534,103.67194672673,1118.10728796537,0.0969074250909891,0.15063512763837,0.147877749757827,0.344730447700227,0.13590546563697,0.515246863623615,0.206180693479534,426.5,0,860.106149936996
Company_010,Company_010,Japan,Specialty Chemicals,Materials,2018,2017,2,3759.094338,original,BBB,4.3,4.2,4.2,78,8.5,5,2.5,17,2017,Brazil,chicken,0.000326,624,220626,5614.41476154874,5947.58671108495,2396.3703659631,189.815708522447,4973.11624740825,0.276510500834249,0.0827323902760858,0.263695967928634,0.402756379662594,0.0939829110013135,1.38829402226251,0.259655831410254,402.5,0,3802.44174509942
Company_010,Company_010,Japan,Specialty Chemicals,Materials,2019,2018,2,3980.807226,original,BBB,4.3,4.5,4.8,77,8.5,5,2.3,18,2018,Brazil,chicken,0.048972989,168,220626,6165.55045354472,6555.6801127235,2562.89412527692,218.714931923313,5053.76416152315,0.268980202668617,0.0846176343661271,0.247818469044621,0.412049915781835,0.0701240681616589,1.47474466385481,0.265958523700373,414.5,0,3645.71530837929
Company_011,Company_011,United States,Consumer Finance,Financials,2018,2017,1,14000,search,BBB,5.5,5,6,5,4.5,76,6.8,19,2017,Brazil,chicken,0.014360409,188.52,5072,161892.75,9818.25,13450.75,1075.75,66294.1140873214,0.0316660684187609,0.0799758330821764,0.24783340950521,0.898542808066532,0.0433484338488838,13.0801988596707,0.385207039431555,522.5,0,10392.3640873214
Company_012,Company_012,United States,Health Care Equipment & Supplies,Healthcare,2016,2015,11,202.8253507,original,BBB,5.6,5.3,6,5,6.3,45,4.3,50,2015,Brazil,pork,0.03657527,566.603,63700,73.6275,29.184,51.02375,-31.14125,246.39704975612,0.254103026137298,-0.683995967,NA,0,1.98870194417716,1.99667767525455,0,246.5,0,287.33629975612
Company_013,Company_013,Japan,Beverages,Consumer Staples,2016,2015,6,15367.44198,original,B,2.6,4.2,3.3,44,4.9,43,5.1,13,2015,Brazil,chicken,9.603994836,983.392,102950,16571.2166359517,15245.5582407957,7993.41123691676,579.204614022178,18972.2884755537,0.390239297695271,0.0737704756575775,0.214768173719009,0.357333589531305,0.056798222094812,1.69732612088899,0.239689935811004,378.5,0,15503.224942326
Company_013,Company_013,Japan,Beverages,Consumer Staples,2017,2016,6,15484.11487,original,BB,4.2,4.6,4,44,5.2,43,4.7,13,2016,Brazil,chicken,0.481802772,861.003,102950,16193.8642712529,15305.5468411567,7895.7994137748,620.708841935891,19160.8913560969,0.409493384439977,0.0800807573966492,0.216358061942478,0.346377114750819,0.0518994029473437,1.71951630175331,0.231299568758659,390.5,0,15868.4987439859
Company_013,Company_013,Japan,Beverages,Consumer Staples,2018,2017,7,19733.81218,original,BB,3.8,4.6,4.5,44,4.6,41,4.9,15,2017,Brazil,chicken,0.057441635,984.01,102950,20393.344102499,14835.2019330272,8170.57185214725,732.498006222491,26046.6657246773,0.337260478195323,0.096053158465474,0.227351608695163,0.449040087373808,0.0433964497918143,2.29840645969474,0.30607895787584,402.5,0,19930.8661205655
Company_013,Company_013,Japan,Beverages,Consumer Staples,2019,2018,8,21861.9838,original,BB,3.2,4.3,4.6,36,4.3,48,3.4,16,2018,Brazil,chicken,0.06707675,319.8,102950,28902.551128852,17540.487754726,10848.1349570342,1130.09645362124,33765.0330588447,0.266338991347468,0.106413142467598,0.217968513028545,0.552379916611209,0.0305984622487976,3.0409061983624,0.392368357917377,414.5,0,23016.3011543951
Company_014,Company_014,Australia,Household & Personal Products,Consumer Staples,2020,2019,2,367.9535051,original,B,2.6,4,4.3,28,1.6,42,7,30,2019,Indonesia,wood pulp,48.66464647,2523.517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_015,Company_015,Indonesia,Food Products,Consumer Staples,2019,2018,8,1764.569949,original,A,7,5.1,7,38,4.4,45,2.5,17,2018,Indonesia,palm oil,35918.63138,940212.956,215519,1855.60859679584,1278.96378816327,1325.87581914341,140.133759758331,1957.05154286858,0.205443374727857,0.10582633238742,0.220314456918955,0.184434747840392,0.0390655495453171,0.389157591078784,0.159510980503635,414.5,0,1680.22504404973
Company_016,Company_016,United Arab Emirates,Banks,Financials,2021,2020,12,33700,search,A,7,4.9,4.9,13,4.4,54,5.6,33,2020,Indonesia,palm oil,45.04042878,8499.878492,252278,119168.591505267,10823.5530104124,11838.3400975095,461.104037255288,34128.499241668,NA,0.0384853733349785,0.0769704752999799,0.721213152526131,0.0851405803890175,181.66157363139,0.154461232590488,438.5,0,20171.1341488719
Company_017,Company_017,Sweden,Trading Companies & Distributors,Industrials,2016,2015,12,402.7828755,original,BBB,5.5,5.3,2.8,36,7.4,27,6.1,37,2015,Brazil,beef,0.033000589,4.480298202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_018,Company_018,Germany,Diversified Chemicals,Materials,2016,2015,6,80611.18917,original,AA,8,5.6,5.9,53,2.7,19,7,28,2015,Argentina,soy,17.33696527,99703.619,17436,86213.4877948895,92659.5711897506,36925.425381298,6131.15892993736,96891.4386341312,0.310343461356749,0.166023474557021,0.308383892331395,0.381469563075408,0.0480554029730831,1.91890910047106,0.219475359905583,378.5,4,80477.9079038323
Company_018,Company_018,Germany,Diversified Chemicals,Materials,2017,2016,6,70004.19458,original,AA,8.4,5.5,5.7,59,3,17,6.8,24,2016,Argentina,soy,6.732430752,21279.2,17436,80459.1081832632,75103.2088803989,36629.6312203858,4797.08885995064,88064.5271914564,0.307567360901025,0.131055078409716,0.291320931319666,0.366903587152258,0.0592367932691939,1.69078490100698,0.219726283602339,390.5,1,73151.7618137159
Company_019,Company_019,Cayman Islands,Banks,Financials,2021,2020,7,NA,search,AAA,10,6.2,7.8,13,6.4,54,5.4,33,2020,Indonesia,palm oil,42.38496409,4749.46232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_020,Company_020,Cayman Islands,Banks,Financials,2018,2017,10,NA,search,A,7.1,5.5,7.3,8,4.7,58,6.2,34,2017,Brazil,beef,298.0650445,1135.978953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_020,Company_020,Cayman Islands,Banks,Financials,2018,2017,10,NA,search,A,7.1,5.5,7.3,8,4.7,58,6.2,34,2017,Brazil,chicken,2.474235454,3586.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_020,Company_020,Cayman Islands,Banks,Financials,2016,2015,8,NA,search,BB,3.2,3.9,0.4,9,4.9,54,3.5,37,2015,Brazil,beef,154.4542294,310.532178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_020,Company_020,Cayman Islands,Banks,Financials,2016,2015,8,NA,search,BB,3.2,3.9,0.4,9,4.9,54,3.5,37,2015,Brazil,chicken,3.26285664,2440.828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_020,Company_020,Cayman Islands,Banks,Financials,2017,2016,9,NA,search,BB,3,3.9,0.4,8,4.1,60,4.2,32,2016,Brazil,beef,126.3736361,602.9955189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_020,Company_020,Cayman Islands,Banks,Financials,2017,2016,9,NA,search,BB,3,3.9,0.4,8,4.1,60,4.2,32,2016,Brazil,chicken,0.97612258,2987.146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2016,2015,11,12416.5294,original,A,7.1,4.9,4.3,42,5.5,48,4.8,10,2015,Brazil,beef,956.079194,1800.879116,205942,12618.3543873545,11399.8774574342,5384.7780730523,777.939637650383,18745.8171755733,0.304150081404819,0.149374778284184,0.22122981368364,0.558156316242221,0.288801357734326,1.96024414315726,0.3248255175548,378.5,0,16745.5118331006
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2016,2015,11,12416.5294,original,A,7.1,4.9,4.3,42,5.5,48,4.8,10,2015,Brazil,chicken,1051.525089,2913243.899,205942,12618.3543873545,11399.8774574342,5384.7780730523,777.939637650383,18745.8171755733,0.304150081404819,0.149374778284184,0.22122981368364,0.558156316242221,0.288801357734326,1.96024414315726,0.3248255175548,378.5,0,16745.5118331006
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2016,2015,11,12416.5294,original,A,7.1,4.9,4.3,42,5.5,48,4.8,10,2015,Brazil,pork,99.70177829,217558.9396,205942,12618.3543873545,11399.8774574342,5384.7780730523,777.939637650383,18745.8171755733,0.304150081404819,0.149374778284184,0.22122981368364,0.558156316242221,0.288801357734326,1.96024414315726,0.3248255175548,378.5,0,16745.5118331006
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2017,2016,12,12050.23796,original,A,6.9,5,3.8,42,6,48,5.6,10,2016,Brazil,beef,1400.733296,3958.191163,205942,11227.0155456073,9112.96573118623,3704.07835710013,688.68307785087,14837.4617475313,0.282922573772929,0.18790857182682,0.195422194899636,0.721816740806741,0.258932593827599,2.45126550634003,0.40968277455622,390.5,0,12104.6503700828
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2017,2016,12,12050.23796,original,A,6.9,5,3.8,42,6,48,5.6,10,2016,Brazil,chicken,926.5438604,2906008.584,205942,11227.0155456073,9112.96573118623,3704.07835710013,688.68307785087,14837.4617475313,0.282922573772929,0.18790857182682,0.195422194899636,0.721816740806741,0.258932593827599,2.45126550634003,0.40968277455622,390.5,0,12104.6503700828
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2017,2016,12,12050.23796,original,A,6.9,5,3.8,42,6,48,5.6,10,2016,Brazil,pork,74.43144557,222361.7089,205942,11227.0155456073,9112.96573118623,3704.07835710013,688.68307785087,14837.4617475313,0.282922573772929,0.18790857182682,0.195422194899636,0.721816740806741,0.258932593827599,2.45126550634003,0.40968277455622,390.5,0,12104.6503700828
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2018,2017,3,10044.69806,original,BBB,4.7,4.1,3.8,35,4.3,39,4.3,26,2017,Brazil,beef,3549.515282,16340.22304,205942,13664.8684918494,10181.7131363275,3711.97285728596,-55.24559516,14487.7665457868,0.198086454917015,-0.016630345,0.0976950756257647,0.829601411462206,0.235526582019507,2.65389890243554,0.471723711803271,402.5,0,10372.5967060374
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2018,2017,3,10044.69806,original,BBB,4.7,4.1,3.8,35,4.3,39,4.3,26,2017,Brazil,chicken,743.0335283,2752996.389,205942,13664.8684918494,10181.7131363275,3711.97285728596,-55.24559516,14487.7665457868,0.198086454917015,-0.016630345,0.0976950756257647,0.829601411462206,0.235526582019507,2.65389890243554,0.471723711803271,402.5,0,10372.5967060374
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2018,2017,3,10044.69806,original,BBB,4.7,4.1,3.8,35,4.3,39,4.3,26,2017,Brazil,pork,116.8022637,277015.8765,205942,13664.8684918494,10181.7131363275,3711.97285728596,-55.24559516,14487.7665457868,0.198086454917015,-0.016630345,0.0976950756257647,0.829601411462206,0.235526582019507,2.65389890243554,0.471723711803271,402.5,0,10372.5967060374
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2019,2018,5,4673.24837,original,B,2.1,3.4,3.1,35,3.5,39,3.4,26,2018,Brazil,chicken,84.48031922,1670391.476,205942,13585.5764941007,10196.9828122948,3283.18434172445,-380.2949729,9807.12834888531,0.185868802230652,-0.129848483,0.0823037595362159,0.852073736539114,0.203806576294473,2.86222131748946,0.486411463642037,414.5,1,5306.71974048193
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2019,2018,5,4673.24837,original,B,2.1,3.4,3.1,35,3.5,39,3.4,26,2018,Brazil,pork,74.43144557,222361.7089,205942,13585.5764941007,10196.9828122948,3283.18434172445,-380.2949729,9807.12834888531,0.185868802230652,-0.129848483,0.0823037595362159,0.852073736539114,0.203806576294473,2.86222131748946,0.486411463642037,414.5,1,5306.71974048193
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2020,2019,11,7019.290153,original,B,2.6,3.5,2.7,30,4.2,39,3.6,31,2019,Brazil,soy,22.06111567,24383.14989,205942,11028.8702999246,8493.77985093592,1923.63343581031,-843.9450905,10915.2372648657,0.169786656065451,-0.442826743,-0.116463575,0.929077015930756,0.163092902754503,2.87264571263924,0.547072556645811,426.5,2,6352.17077312425
Company_021,Company_021,Brazil,Food Products,Consumer Staples,2021,2020,12,3447.813763,original,BB,3.8,3.7,3.1,34,4.6,33,3.5,33,2020,Indonesia,palm oil,40.73012867,6315.52818,205942,9714.685347,8220.65064694195,1555.72530328112,122.13216686263,7089.002703,0.255354546416158,0.100295800270309,0.3763591005204,1.01998139679651,0.198214445122462,3.02696980625148,0.54883289930505,438.5,3,3373.09100347323
Company_022,Company_022,Mexico,Food Products,Consumer Staples,2019,2018,5,2745.629898,original,B,1.5,3.4,1.8,35,4.8,48,2.5,17,2018,Brazil,chicken,0.024176976,108,221545,2684.55251136778,3112.79164697189,2114.54755106148,267.276135634141,2063.85212197662,0.256313909101964,0.126212703472758,0.186011926308929,0.212784357677881,1.19063716423129,0.854867590614453,0.098591885980059,414.5,0,2723.39435501642
Company_023,Company_023,United States,Banks,Financials,2017,2016,9,1507.210635,original,BBB,4.5,4.4,1.1,5,3.7,60,6,35,2016,Brazil,beef,1.539309818,19.02289229,61487,8692.60175,341.511,1157.48325,51.17425,1592.71621741486,0.0388592452157918,0.0479066345800839,NA,0.257470393744784,0.0295624792570018,49.2239668535041,0.0376268625132185,258.5,0,1485.98996741486
Company_024,Company_024,Switzerland,Food Products,Consumer Staples,2021,2020,12,13108.46451,original,AA,7.8,5.1,3,32,5.7,35,6.6,33,2020,Indonesia,palm oil,0.099532516,21.06904994,224159,7451.119846,7401.48968679962,2539.47975238467,369.864591459276,13248.046565852,0.183999174752314,0.145748529921951,0.250051307739254,0.574793071722118,0.135644349283115,2.91401801682431,0.317977112194354,438.5,21,11542.9958786161
Company_025,Company_025,Germany,Pharmaceuticals,Healthcare,2017,2016,9,113000,search,BBB,5.6,4.5,2.9,10,4.6,59,4.9,31,2016,Paraguay,soy,5.47076,3096.8,100080,83643.6016611085,49536.3964519282,26884.6545841408,4375.9940584837,106306.359951252,0.374908721310407,0.162674676804924,0.365593286294216,0.502280432435139,0.0592995363050167,4.21282715050853,0.275422109687569,390.5,0,86670.9443358753
Company_026,Company_026,Thailand,Retail - Food & Staples,Consumer Staples,2019,2018,3,7309.968381,original,BB,3.8,3.8,2.1,16,4.3,68,3.3,16,2018,Indonesia,wood pulp,121.7148628,2000,200711,9673.45102116574,4533.44395016699,3576.70693261219,163.776041375293,11708.5446352186,0.112071884796983,0.0457293594139774,0.130645084143375,0.601105691451045,0.0169713895655434,3.05345582685735,0.500400438859299,414.5,0,6974.77233397255
Company_026,Company_026,Thailand,Retail - Food & Staples,Consumer Staples,2020,2019,7,6751.933078,original,BB,2.9,3.7,2,18,4.4,64,3.2,18,2019,Indonesia,wood pulp,9.780284198,507.159,200711,10101.4628141992,4869.48728231736,3771.2047233855,206.506473571138,11207.1773797904,0.116276919284758,0.0547564259671816,0.133345997906925,0.600213989341857,0.0271318023834269,3.10170237499961,0.496901413134415,426.5,0,6364.32628410249
Company_027,Company_027,United States,Food Products,Consumer Staples,2016,2015,8,NA,search,A,6.1,5.5,7.8,36,3.2,50,8.2,14,2015,Brazil,pork,0.119013689,132.559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_027,Company_027,United States,Food Products,Consumer Staples,2017,2016,7,NA,search,A,6.8,5.7,7.9,36,3.1,50,9,14,2016,Brazil,beef,54.75938287,36.68491837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_027,Company_027,United States,Food Products,Consumer Staples,2017,2016,7,NA,search,A,6.8,5.7,7.9,36,3.1,50,9,14,2016,Brazil,chicken,0.068828967,110.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA
Company_028,Company_028,United Kingdom,Media,Media,2019,2018,12,NA,search,B,2.7,4,7,20,4.1,40,2.4,40,2018,Indonesia,palm oil,130.2409284,9649.647754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
Company_029,Company_029,Australia,Commercial Services & Supplies,Industrials,2021,2020,9,1133.328679,original,BB,3,4.7,3.4,37,4.1,26,6.4,37,2020,Indonesia,palm oil,4.919370713,76.2252479,324134,926.082238027243,317.077320638751,591.274359693852,34.9973354760394,1317.61681582071,0.123938668156292,0.0592762527110294,0.131366204105122,0.324128252969808,0.0661817675700555,0.723709063962209,0.282920849078839,438.5,0,1079.05925440894
Company_030,Company_030,Germany,Trading Companies & Distributors,Industrials,2019,2018,6,8613.617777,original,AA,8.3,6.3,3.6,23,6.4,46,8.1,31,2018,Indonesia,palm oil,7.639616494,315.8736449,269835,9008.97061639794,13790.5003804856,3786.37657967018,444.726871511069,10752.2941151899,0.345840130422975,0.117557185847094,0.214081228786792,0.487744327415204,0.133109257953493,4.89475677379034,0.299862718132993,414.5,0,8775.87567423599
Company_030,Company_030,Germany,Trading Companies & Distributors,Industrials,2020,2019,8,7441.467033,original,AA,8.4,6.4,4,23,6.7,46,7.7,31,2019,Indonesia,palm oil,4.827164146,215.7894358,269835,9234.36806306184,14563.3149307327,3944.97850572712,514.32316272228,10044.5206147816,0.351327654996111,0.130328062695939,0.225788720508667,0.45379567056066,0.0818323135880656,4.03429001166831,0.296463079381371,426.5,1,7748.31492705946
